date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:23:38	2937/2937	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa1-b79%22	https://whatsdetect.org/nf-ggads/assets/hello-frontend.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/hello-frontend.min.js	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:38	60173/60173	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa4-eb0d%22	https://whatsdetect.org/nf-ggads/assets/frontend-modules.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/frontend-modules.min.js	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:38	3636/3636	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa2-e34%22	https://whatsdetect.org/nf-ggads/assets/frontend.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/frontend.min.js	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:39	29635/29635	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa3-73c3%22	https://whatsdetect.org/nf-ggads/assets/elements-handlers.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/elements-handlers.min.js	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:39	7071/7071	---MCZ	200	added ('OK')	text/html	etag:W/%22673fda9e-1b9f%22	https://whatsdetect.org/nf-ggads/analise-pausada.html	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/analise-pausada.html	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:40	31957/31957	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cd5-19397381ba8%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Meus%20Sites/whats/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:40	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:39%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.eot	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.eot	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:40	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:39%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.woff	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.woff	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:40	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:40%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.ttf	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.ttf	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:41	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:40%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.svg	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-brands-400.svg	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
